category;level;1;2;3;4;QFhi;QFlo;R16hi;R16lo
M;WC;12;10;8;6;3;3;1;1
W;WC;12;10;8;6;3;3;1;1
W;ECH;11;9;7;5;3;3;1;1
M;WCH;11;9;7;5;3;3;1;1
M;ECH;11;9;7;5;3;3;1;1
W;WCH;11;9;7;5;3;3;1;1
SM;ECH;10;8;7;5;2;2;1;1
SW;WCH;10;8;7;5;2;2;1;1
SM;WCH;10;8;7;5;2;2;1;1
SW;ECH;10;8;7;5;2;2;1;1
J;WCH;9;7;6;4;2;2;1;1
J;ECH;9;7;6;4;2;2;1;1
C;WCH;8;6;5;3;2;2;1;1
C;ECH;8;6;5;3;2;2;1;1
O;NC;10;8;7;5;2;2;1;1
M;NC;9;7;6;4;2;2;1;1
W;NC;9;7;6;4;2;2;1;1
C;NC;6;5;4;2;1;1;0;0
J;NC;8;6;5;3;2;2;1;1
S;NC;8;6;5;3;2;2;1;1
SM;NC;8;6;5;3;2;2;1;1
SW;NC;8;6;5;3;2;2;1;1
O;IC;10;8;7;5;2;2;1;1
M;IC;9;7;6;4;2;2;1;1
W;IC;9;7;6;4;2;2;1;1
C;IC;6;5;4;2;1;1;0;0
J;IC;8;6;5;3;2;2;1;1
S;IC;8;6;5;3;2;2;1;1
SM;IC;8;6;5;3;2;2;1;1
SW;IC;8;6;5;3;2;2;1;1
